,LapTime,NextLapTime,LapNumber,DriverNumber,Team,Compound,TyreLife,FreshTyre,S1Time,S2Time,S3Time,S1STime,S2STime,S2STime,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Position,Deleted,TrackStatus
0,94.82,87.44,1.0,10,0,2,1.0,0,,31.637,30.163,,2065.524,2065.524,323.0,316.0,281.0,0,14.0,0,2
1,87.44,87.313,2.0,10,0,2,2.0,0,28.465,30.036,28.939,2123.608,2153.644,2153.644,316.0,306.0,319.0,0,13.0,0,1
2,87.313,87.121,3.0,10,0,2,3.0,0,28.488,29.415,29.41,2211.071,2240.486,2240.486,338.0,304.0,314.0,0,13.0,0,2
3,87.121,86.515,4.0,10,0,2,4.0,0,28.257,29.857,29.007,2298.153,2328.01,2328.01,322.0,303.0,338.0,0,13.0,0,1
4,86.515,94.294,5.0,10,0,2,5.0,0,28.415,29.201,28.899,2385.432,2414.633,2414.633,318.0,301.0,321.0,0,13.0,0,1
5,94.294,87.838,6.0,10,0,2,6.0,0,28.417,29.211,36.666,2471.949,2501.16,2501.16,316.0,307.0,316.0,0,14.0,0,2
6,87.838,87.868,7.0,10,0,2,7.0,0,28.413,29.26,30.165,2566.239,2595.499,2595.499,331.0,302.0,330.0,0,13.0,0,1
7,87.868,86.593,8.0,10,0,2,8.0,0,28.701,30.324,28.843,2654.365,2684.689,2684.689,320.0,306.0,325.0,0,14.0,0,1
8,86.593,86.083,9.0,10,0,2,9.0,0,28.408,29.325,28.86,2741.94,2771.265,2771.265,315.0,303.0,,0,14.0,0,1
9,86.083,86.331,10.0,10,0,2,10.0,0,28.347,29.059,28.677,2828.472,2857.531,2857.531,319.0,304.0,326.0,0,14.0,0,1
10,86.331,85.695,11.0,10,0,2,11.0,0,28.301,29.138,28.892,2914.509,2943.647,2943.647,328.0,303.0,,0,14.0,0,1
11,85.695,86.329,12.0,10,0,2,12.0,0,28.188,28.974,28.533,3000.727,3029.701,3029.701,330.0,308.0,327.0,0,14.0,0,1
12,86.329,86.505,13.0,10,0,2,13.0,0,28.366,29.12,28.843,3086.6,3115.72,3115.72,330.0,304.0,,0,14.0,0,1
13,86.505,86.575,14.0,10,0,2,14.0,0,28.395,29.303,28.807,3172.958,3202.261,3202.261,316.0,304.0,329.0,0,14.0,0,1
14,86.575,86.055,15.0,10,0,2,15.0,0,28.518,29.315,28.742,3259.586,3288.901,3288.901,315.0,304.0,315.0,0,13.0,0,1
15,86.055,86.155,16.0,10,0,2,16.0,0,28.488,28.955,28.612,3346.131,3375.086,3375.086,316.0,304.0,314.0,0,13.0,0,1
16,86.155,87.272,17.0,10,0,2,17.0,0,28.417,29.043,28.695,3432.115,3461.158,3461.158,317.0,302.0,316.0,0,13.0,0,1
17,87.272,86.253,18.0,10,0,2,18.0,0,28.968,29.49,28.814,3518.821,3548.311,3548.311,330.0,304.0,315.0,0,14.0,0,1
18,86.253,86.089,19.0,10,0,2,19.0,0,28.514,29.117,28.622,3605.639,3634.756,3634.756,316.0,303.0,,0,14.0,0,1
19,86.089,86.109,20.0,10,0,2,20.0,0,28.399,29.078,28.612,3691.777,3720.855,3720.855,316.0,302.0,321.0,0,14.0,0,1
20,86.109,86.284,21.0,10,0,2,21.0,0,28.459,28.948,28.701999999999998,3777.926,3806.874,3806.874,318.0,303.0,315.0,0,13.0,0,1
21,86.284,86.311,22.0,10,0,2,22.0,0,28.382,29.279,28.623,3863.958,3893.237,3893.237,318.0,306.0,318.0,0,12.0,0,1
22,86.311,86.042,23.0,10,0,2,23.0,0,28.432,29.318,28.561,3950.292,3979.61,3979.61,317.0,303.0,314.0,0,11.0,0,1
23,86.042,85.933,24.0,10,0,2,24.0,0,28.405,29.086,28.551,4036.576,4065.662,4065.662,315.0,304.0,312.0,0,11.0,0,1
24,85.933,85.954,25.0,10,0,2,25.0,0,28.435,29.026,28.472,4122.648,4151.674,4151.674,311.0,305.0,313.0,0,11.0,0,1
25,85.954,85.731,26.0,10,0,2,26.0,0,28.416,28.921,28.617,4208.562,4237.483,4237.483,311.0,305.0,310.0,0,11.0,0,1
26,85.731,102.204,27.0,10,0,2,27.0,0,28.448,28.845,28.438,4294.548,4323.393,4323.393,313.0,304.0,311.0,0,9.0,0,1
27,102.204,105.04,28.0,10,0,2,28.0,0,28.452,28.886,44.866,4380.283,4409.169,4409.169,300.0,,307.0,0,8.0,0,267
28,105.04,107.14,29.0,10,0,1,1.0,0,48.246,28.783,28.011,4502.281,4531.064,4531.064,313.0,309.0,272.0,0,12.0,0,7
29,107.14,87.411,30.0,10,0,1,2.0,0,27.778,40.274,39.088,4586.853,4627.127,4627.127,273.0,252.0,328.0,0,11.0,0,267
30,87.411,86.072,31.0,10,0,1,3.0,0,29.436,29.658,28.317,4695.651,4725.309,4725.309,331.0,311.0,320.0,0,11.0,0,7
31,86.072,85.004,32.0,10,0,1,4.0,0,28.187,29.481,28.404,4781.813,4811.294,4811.294,337.0,310.0,340.0,0,12.0,0,1
32,85.004,85.211,33.0,10,0,1,5.0,0,27.873,28.95,28.181,4867.571,4896.521,4896.521,341.0,314.0,336.0,0,12.0,0,1
33,85.211,84.879,34.0,10,0,1,6.0,0,27.68,29.341,28.19,4952.382,4981.723,4981.723,319.0,310.0,323.0,0,11.0,0,1
34,84.879,84.564,35.0,10,0,1,7.0,0,28.152,28.634,28.093,5038.065,5066.699,5066.699,325.0,311.0,315.0,0,11.0,0,1
35,84.564,84.564,36.0,10,0,1,8.0,0,27.735,28.561,28.268,5122.527,5151.088,5151.088,327.0,312.0,342.0,0,11.0,0,1
36,84.564,84.609,37.0,10,0,1,9.0,0,27.751,28.726,28.087,5207.107,5235.833,5235.833,323.0,311.0,344.0,0,11.0,0,1
37,84.609,84.579,38.0,10,0,1,10.0,0,27.861,28.663,28.085,5291.781,5320.444,5320.444,312.0,309.0,337.0,0,11.0,0,1
38,84.579,84.649,39.0,10,0,1,11.0,0,27.953,28.597,28.029,5376.482,5405.079,5405.079,312.0,309.0,326.0,0,11.0,0,1
39,84.649,84.508,40.0,10,0,1,12.0,0,28.014,28.64,27.995,5461.122,5489.762,5489.762,313.0,310.0,329.0,0,11.0,0,1
40,84.508,84.485,41.0,10,0,1,13.0,0,27.936,28.646,27.926,5545.693,5574.339,5574.339,312.0,311.0,330.0,0,11.0,0,1
41,84.485,84.558,42.0,10,0,1,14.0,0,27.951999999999998,28.571,27.962,5630.217,5658.788,5658.788,314.0,311.0,323.0,0,11.0,0,1
42,84.558,84.47,43.0,10,0,1,15.0,0,28.105,28.503,27.95,5714.855,5743.358,5743.358,316.0,310.0,314.0,0,11.0,0,1
43,84.47,84.528,44.0,10,0,1,16.0,0,28.168,28.433,27.869,5799.476,5827.909,5827.909,313.0,308.0,310.0,0,11.0,0,1
44,84.528,84.309,45.0,10,0,1,17.0,0,28.193,28.416,27.919,5883.971,5912.387,5912.387,313.0,309.0,,0,11.0,0,1
45,84.309,84.317,46.0,10,0,1,18.0,0,28.073,28.4,27.836,5968.379,5996.779,5996.779,314.0,309.0,309.0,0,11.0,0,1
46,84.317,87.694,47.0,10,0,1,19.0,0,28.088,28.296,27.933,6052.703,6080.999,6080.999,314.0,310.0,310.0,0,11.0,0,1
47,87.694,84.423,48.0,10,0,1,20.0,0,30.065,29.563,28.066,6138.997,6168.56,6168.56,316.0,309.0,237.0,0,11.0,0,1
48,84.423,84.268,49.0,10,0,1,21.0,0,28.05,28.377,27.996,6224.676,6253.053,6253.053,316.0,308.0,312.0,0,11.0,0,1
49,84.268,83.885,50.0,10,0,1,22.0,0,28.188,28.315,27.765,6309.237,6337.552,6337.552,315.0,310.0,309.0,0,11.0,0,1
50,83.885,84.025,51.0,10,0,1,23.0,0,28.1,28.076,27.709,6393.417,6421.493,6421.493,315.0,310.0,312.0,0,11.0,0,1
51,96.2,88.982,1.0,11,1,2,1.0,0,,31.33,29.87,,2066.896,2066.896,335.0,313.0,252.0,0,17.0,0,2
52,88.982,87.504,2.0,11,1,2,2.0,0,28.329,31.183,29.47,2124.862,2156.045,2156.045,325.0,315.0,309.0,0,17.0,0,1
53,87.504,88.126,3.0,11,1,2,3.0,0,27.857,30.401,29.246,2213.372,2243.773,2243.773,328.0,315.0,353.0,0,16.0,0,2
54,88.126,86.524,4.0,11,1,2,4.0,0,27.957,30.264,29.905,2300.976,2331.24,2331.24,328.0,312.0,314.0,0,15.0,0,1
55,86.524,87.29,5.0,11,1,2,5.0,0,28.27,29.55,28.704,2389.415,2418.965,2418.965,315.0,307.0,335.0,0,14.0,0,1
56,87.29,85.606,6.0,11,1,2,6.0,0,28.088,29.205,29.997,2475.757,2504.962,2504.962,314.0,306.0,323.0,0,11.0,0,2
57,85.606,85.718,7.0,11,1,2,7.0,0,27.919,28.958,28.729,2562.878,2591.836,2591.836,319.0,307.0,325.0,0,11.0,0,1
58,85.718,86.187,8.0,11,1,2,8.0,0,27.939,29.078,28.701,2648.504,2677.582,2677.582,319.0,311.0,331.0,0,11.0,0,1
59,86.187,86.563,9.0,11,1,2,9.0,0,28.056,29.211,28.92,2734.339,2763.55,2763.55,326.0,311.0,323.0,0,11.0,0,1
60,86.563,87.438,10.0,11,1,2,10.0,0,27.937,29.69,28.936,2820.407,2850.097,2850.097,326.0,312.0,338.0,0,11.0,0,1
61,87.438,87.376,11.0,11,1,2,11.0,0,27.865,30.683,28.89,2906.898,2937.581,2937.581,324.0,311.0,351.0,0,11.0,0,1
62,87.376,86.839,12.0,11,1,2,12.0,0,27.948,30.452,28.976,2994.419,3024.871,3024.871,321.0,310.0,338.0,0,11.0,0,1
63,86.839,86.626,13.0,11,1,2,13.0,0,27.957,29.999,28.883,3081.804,3111.803,3111.803,321.0,311.0,328.0,0,11.0,0,1
64,86.626,86.229,14.0,11,1,2,14.0,0,27.816,29.93,28.88,3168.502,3198.432,3198.432,321.0,310.0,350.0,0,11.0,0,1
